record_type,signatory_id,source_signatory,actor_type,actor_name,relationship_family,relationship_subtype,degree,path_status,target_signatory,target_is_coalition_signatory,intermediary,investment_vehicle,direction,confidence_tier,ceo_1hop_audit_tier,ceo_2hop_audit_tier,org_investor_among_signatories,external_investors_into_signatory,notes,data_source,full_path,edge_type_raw
relationship,,Block,leader,Jack Dorsey,leader_personal_equity,ceo_2hop_beneficiary,2,path_found,OpenAI,yes,ICONiQ Capital,,leader_beneficiary_of_target_equity,CONFIRMED,,,,,Jack Dorsey → ICONiQ Capital → equity in OpenAI,audit_v2,,
relationship,,Microsoft,leader,Satya Nadella,leader_personal_equity,ceo_2hop_beneficiary,2,path_found,OpenAI,yes,ICONiQ Capital,,leader_beneficiary_of_target_equity,CONFIRMED,,,,,Satya Nadella → ICONiQ Capital → equity in OpenAI,audit_v2,,
relationship,,Meta,leader,Mark Zuckerberg,leader_personal_equity,ceo_2hop_beneficiary,2,path_found,Perplexity,yes,NFDG LP,,leader_beneficiary_of_target_equity,CONFIRMED,,,,,Mark Zuckerberg → NFDG LP → equity in Perplexity,audit_v2,,
relationship,,Andreessen Horowitz,leader,Marc Andreessen,leader_personal_equity,ceo_2hop_beneficiary,2,path_found,Mistral,yes,Andreessen Horowitz (GP),,leader_beneficiary_of_target_equity,CONFIRMED,,,,,Marc Andreessen → Andreessen Horowitz (GP) → equity in Mistral,audit_v2,,
relationship,,Andreessen Horowitz,leader,Marc Andreessen,leader_personal_equity,ceo_2hop_beneficiary,2,path_found,Replit,yes,Andreessen Horowitz (GP),,leader_beneficiary_of_target_equity,CONFIRMED,,,,,Marc Andreessen → Andreessen Horowitz (GP) → equity in Replit,audit_v2,,
relationship,,Andreessen Horowitz,leader,Marc Andreessen,leader_personal_equity,ceo_2hop_beneficiary,2,path_found,Black Forest Labs,yes,Andreessen Horowitz (GP),,leader_beneficiary_of_target_equity,CONFIRMED,,,,,Marc Andreessen → Andreessen Horowitz (GP) → equity in Black Forest Labs,audit_v2,,
relationship,,Andreessen Horowitz,leader,Marc Andreessen,leader_personal_equity,ceo_2hop_beneficiary,2,path_found,Periodic Labs,yes,Andreessen Horowitz (GP),,leader_beneficiary_of_target_equity,CONFIRMED,,,,,Marc Andreessen → Andreessen Horowitz (GP) → equity in Periodic Labs,audit_v2,,
relationship,,Andreessen Horowitz,leader,Marc Andreessen,leader_personal_equity,ceo_2hop_beneficiary,2,path_found,Genspark,yes,Andreessen Horowitz (GP),,leader_beneficiary_of_target_equity,CONFIRMED,,,,,Marc Andreessen → Andreessen Horowitz (GP) → equity in Genspark,audit_v2,,
relationship,,Andreessen Horowitz,leader,Marc Andreessen,leader_personal_equity,ceo_2hop_beneficiary,2,path_found,Baseten,yes,Andreessen Horowitz (GP),,leader_beneficiary_of_target_equity,CONFIRMED,,,,,Marc Andreessen → Andreessen Horowitz (GP) → equity in Baseten,audit_v2,,
relationship,,Andreessen Horowitz,leader,Marc Andreessen,leader_personal_equity,ceo_2hop_beneficiary,2,path_found,Arena,yes,Andreessen Horowitz (GP),,leader_beneficiary_of_target_equity,CONFIRMED,,,,,Marc Andreessen → Andreessen Horowitz (GP) → equity in Arena,audit_v2,,
relationship,,Andreessen Horowitz,leader,Marc Andreessen,leader_personal_equity,ceo_2hop_beneficiary,2,path_found,Mariana Minerals,yes,Andreessen Horowitz (GP),,leader_beneficiary_of_target_equity,CONFIRMED,,,,,Marc Andreessen → Andreessen Horowitz (GP) → equity in Mariana Minerals,audit_v2,,
relationship,,Andreessen Horowitz,leader,Marc Andreessen,leader_personal_equity,ceo_2hop_beneficiary,2,path_found,Inferact,yes,Andreessen Horowitz (GP),,leader_beneficiary_of_target_equity,CONFIRMED,,,,,Marc Andreessen → Andreessen Horowitz (GP) → equity in Inferact,audit_v2,,
relationship,,Andreessen Horowitz,leader,Ben Horowitz,leader_personal_equity,ceo_2hop_beneficiary,2,path_found,Mistral,yes,Andreessen Horowitz (GP),,leader_beneficiary_of_target_equity,CONFIRMED,,,,,Ben Horowitz → Andreessen Horowitz (GP) → equity in Mistral,audit_v2,,
relationship,,Andreessen Horowitz,leader,Ben Horowitz,leader_personal_equity,ceo_2hop_beneficiary,2,path_found,Replit,yes,Andreessen Horowitz (GP),,leader_beneficiary_of_target_equity,CONFIRMED,,,,,Ben Horowitz → Andreessen Horowitz (GP) → equity in Replit,audit_v2,,
relationship,,Andreessen Horowitz,leader,Ben Horowitz,leader_personal_equity,ceo_2hop_beneficiary,2,path_found,Black Forest Labs,yes,Andreessen Horowitz (GP),,leader_beneficiary_of_target_equity,CONFIRMED,,,,,Ben Horowitz → Andreessen Horowitz (GP) → equity in Black Forest Labs,audit_v2,,
relationship,,Andreessen Horowitz,leader,Ben Horowitz,leader_personal_equity,ceo_2hop_beneficiary,2,path_found,Periodic Labs,yes,Andreessen Horowitz (GP),,leader_beneficiary_of_target_equity,CONFIRMED,,,,,Ben Horowitz → Andreessen Horowitz (GP) → equity in Periodic Labs,audit_v2,,
relationship,,Andreessen Horowitz,leader,Ben Horowitz,leader_personal_equity,ceo_2hop_beneficiary,2,path_found,Genspark,yes,Andreessen Horowitz (GP),,leader_beneficiary_of_target_equity,CONFIRMED,,,,,Ben Horowitz → Andreessen Horowitz (GP) → equity in Genspark,audit_v2,,
relationship,,Andreessen Horowitz,leader,Ben Horowitz,leader_personal_equity,ceo_2hop_beneficiary,2,path_found,Baseten,yes,Andreessen Horowitz (GP),,leader_beneficiary_of_target_equity,CONFIRMED,,,,,Ben Horowitz → Andreessen Horowitz (GP) → equity in Baseten,audit_v2,,
