record_type,signatory_id,source_signatory,actor_type,actor_name,relationship_family,relationship_subtype,degree,path_status,target_signatory,target_is_coalition_signatory,intermediary,investment_vehicle,direction,confidence_tier,ceo_1hop_audit_tier,ceo_2hop_audit_tier,org_investor_among_signatories,external_investors_into_signatory,notes,data_source,full_path,edge_type_raw
research_profile,,AI21,organization,AI21,research_profile,leader_vc_stake,,,,,,None,,CONFIRMED,None found,,,,Google and NVIDIA hold AI21 equity (Series C Aug 2023; NVIDIA also in reported acquisition talks 2025-26),research_markdown_v4,,research_table_row
research_profile,,AMD,organization,AMD,research_profile,leader_vc_stake,,,,,,"AMD Ventures (balance-sheet CVC, ~$300M deployed in 2024)",,CONFIRMED,None found,,,,"AMD holds equity in Cohere, Hugging Face, Fireworks AI. OpenAI holds AMD warrants for up to 160M shares (~10%) at $0.01, milestone-vested, unvested mid-2026 (AMD 8-K Oct 2025). Su was Cisco director 2020-2023",research_markdown_v4,,research_table_row
research_profile,,American Innovators Network,organization,American Innovators Network,research_profile,leader_vc_stake,,,,,,"None — lobbying coalition, not an investor",,CONFIRMED,None found (political/nonprofit background),,,,"Founded/funded by a16z and Y Combinator (Apr 2025) — membership funding, not equity. Day succeeded by Jeremy Kudon Apr 2026",research_markdown_v4,,research_table_row
research_profile,,AMP,organization,AMP,research_profile,leader_vc_stake,,,,,,AMP is itself an investment company (fund + AMP Foundry lab-funding arm),,CONFIRMED,Founder/key-man GP of AMP ($1.3B+ first fund; AMP Foundry); Venture Partner at a16z (GP until Oct 2025),,,,"AMP co-led Black Forest Labs Series B ($3.25B val Dec 2025); AMP Foundry backs Periodic Labs. Midha board seats at BFL, Mistral, Arena/LMArena, Periodic Labs",research_markdown_v4,,research_table_row
research_profile,,Andreessen Horowitz,organization,Andreessen Horowitz,research_profile,leader_vc_stake,,,,,,"a16z VC: $7.2B 2024 raise, Crypto Fund IV $4.5B, speedrun accelerator, reported ~$20B AI megafund",,CONFIRMED,"Co-owners of AH Capital Management (a16z, ~$45B+ AUM); a16z Perennial family-office vehicles",,,,"a16z holds equity in Mistral, BFL, OpenAI (co-led Mar 2026), Arena/LMArena, Periodic Labs, Replit, Inferact, Mariana Minerals; 13F positions in Block and DoorDash; historical GitHub and Box (exited). Andreessen on Meta board",research_markdown_v4,,research_table_row
research_profile,,Arcee AI,organization,Arcee AI,research_profile,leader_vc_stake,,,,,,None,,CONFIRMED,None found (1 angel deal),,,,Emergence Capital led Series A (2024); Microsoft M12 co-led 2025 strategic round; Clément Delangue (HF CEO) personal seed angel,research_markdown_v4,,research_table_row
research_profile,,Arena,organization,Arena,research_profile,leader_vc_stake,,,,,,None,,CONFIRMED,None found,,,,a16z holds equity ($100M seed May 2025 + $150M Series A at $1.7B); Anjney Midha (AMP) on board,research_markdown_v4,,research_table_row
research_profile,,Baseten,organization,Baseten,research_profile,leader_vc_stake,,,,,,None,,CONFIRMED,Listed on Athletic Ventures team (advisory; GP/LP status unclear),,,,"NVIDIA (~$150M of Series E Jan 2026, $5B val) and Google/CapitalG (Series D + E) hold equity",research_markdown_v4,,research_table_row
research_profile,,Black Forest Labs,organization,Black Forest Labs,research_profile,leader_vc_stake,,,,,,None,,CONFIRMED,None found,,,,"a16z (seed/A/B), NVIDIA (A/B), AMP (co-led B) hold equity; Delangue personal angel",research_markdown_v4,,research_table_row
research_profile,,Block,organization,Block,research_profile,leader_vc_stake,,,,,,No named fund; occasional balance-sheet deals,,CONFIRMED,Anchor LP in Recursive Capital Fund I (Bitcoin VC Nov 2024). Start Small = philanthropy,,,,a16z holds Block shares (13F Q2 2025),research_markdown_v4,,research_table_row
research_profile,,Box,organization,Box,research_profile,leader_vc_stake,,,,,,None,,CONFIRMED,Personal angel (57-100+ deals); no fund/GP/LP found,,,,Levie personally holds Prime Intellect equity (Series A angel). Historically a16z and Emergence pre-IPO Box investors,research_markdown_v4,,research_table_row
research_profile,,Cisco,organization,Cisco,research_profile,leader_vc_stake,,,,,,Cisco Investments CVC; $1B Global AI Investment Fund (2024); LP in 40-50+ VC funds,,CONFIRMED,None found,,,,Cisco holds equity in Cohere and Mistral (via AI fund + Series D/B). Lisa Su (AMD CEO) was on Cisco board 2020-2023,research_markdown_v4,,research_table_row
research_profile,,Cloudflare,organization,Cloudflare,research_profile,leader_vc_stake,,,,,,"Workers Launchpad ($2B) is partner-VC capital, not Cloudflare own fund (incl. Emergence as partner)",,CONFIRMED,Personal angel; no fund/GP/LP found,,,,Prince personally holds Prime Intellect equity. Google (CapitalG) and Microsoft were pre-IPO Cloudflare investors,research_markdown_v4,,research_table_row
research_profile,,Cohere,organization,Cohere,research_profile,leader_vc_stake,,,,,,None,,CONFIRMED,"None found (personal angel ~11 deals, none on list)",,,,"NVIDIA (2023-2025), Cisco (Series D 2024), AMD Ventures (2024 + Aug 2025 at $6.8B) hold equity",research_markdown_v4,,research_table_row
research_profile,,CrowdStrike,organization,CrowdStrike,research_profile,leader_vc_stake,,,,,,"CrowdStrike Falcon Fund with Accel: Fund I $20M (2019), Fund II $100M (2022)",,CONFIRMED,Founder of Falcon Fund; FalconEye Ventures (personal RE); active angel,,,,"Google (CapitalG) led Series C 2015, held 11.1% at 2019 IPO (~$1.2B); current stake undisclosed",research_markdown_v4,,research_table_row
research_profile,,Dell Technologies,organization,Dell Technologies,research_profile,leader_vc_stake,,,,,,"Dell Technologies Capital (balance-sheet CVC, ~$100-200M/yr, >$1.7B deployed)",,CONFIRMED,DFO Management (family office >$100B) and BDT & MSD Partners,,,,DTC holds Prime Intellect equity (Series A Jul 2026). Michael Dell owns ~50%+ of Dell,research_markdown_v4,,research_table_row
research_profile,,DoorDash,organization,DoorDash,research_profile,leader_vc_stake,,,,,,"DoorDash Ventures (balance-sheet strategic investing, est. 2021)",,CONFIRMED,"None found (angel ~30 deals, none on list)",,,,Xu sits on Meta board (since Jan 2022). YC held early DoorDash equity (S13); a16z holds DoorDash shares (13F),research_markdown_v4,,research_table_row
research_profile,,Emergence Capital,organization,Emergence Capital,research_profile,leader_vc_stake,,,,,,Emergence is the VC (Funds I-VII),,CONFIRMED,"Founder & GP — carry across Emergence funds; Fund VII $1B (Mar 2025), ~$3.2B AUM",,,,"Holds equity in Genspark (led $275M Series B Nov 2025), Arcee AI (led Series A), pre-IPO Box; Workers Launchpad (Cloudflare) partner VC",research_markdown_v4,,research_table_row
research_profile,,Fireworks AI,organization,Fireworks AI,research_profile,leader_vc_stake,,,,,,None,,CONFIRMED,None found,,,,"NVIDIA and AMD hold equity (Series B Jul 2024 + Series C Oct 2025, $4B val)",research_markdown_v4,,research_table_row
research_profile,,Genspark,organization,Genspark,research_profile,leader_vc_stake,,,,,,None,,CONFIRMED,None found,,,,Emergence Capital holds equity (led $275M Series B at $1.25B Nov 2025). Fireworks/OpenAI ties commercial only,research_markdown_v4,,research_table_row
research_profile,,GitHub,organization,GitHub,research_profile,leader_vc_stake,,,,,,M12 GitHub Fund ($10M Nov 2022 with Microsoft M12),,CONFIRMED,"None — founded operating company Entire (Feb 2026), not a fund",,,,"Microsoft owns 100% of GitHub (2018 $7.5B). Historical a16z ($100M Series A 2012, exited 2018). M12 holds Entire equity; Garry Tan personal Entire angel",research_markdown_v4,,research_table_row
research_profile,,Google,organization,Google,research_profile,leader_vc_stake,,,,,,"GV (>$8B AUM), CapitalG (growth), Gradient Ventures (early AI) + direct corporate investments",,CONFIRMED,Reported LP in several VC funds (fund names undisclosed; weakly sourced); minor angel (Arta Finance),,,,"Google/Alphabet holds equity in AI21, Hugging Face, Baseten (CapitalG), Replit (AI Futures Fund 2025); held CrowdStrike (11.1% at IPO) and pre-IPO Cloudflare",research_markdown_v4,,research_table_row
research_profile,,Hugging Face,organization,Hugging Face,research_profile,leader_vc_stake,,,,,,None,,CONFIRMED,Partner at Factorial Capital (~half carry on sourced deals); prolific angel (28-41 deals),,,,"HF equity held by Google, NVIDIA, AMD, IBM (Series D Aug 2023). Delangue personally holds Mistral, Perplexity, Arcee AI, BFL, Prime Intellect, Trajectory (angel)",research_markdown_v4,,research_table_row
