record_type,signatory_id,source_signatory,actor_type,actor_name,relationship_family,relationship_subtype,degree,path_status,target_signatory,target_is_coalition_signatory,intermediary,investment_vehicle,direction,confidence_tier,ceo_1hop_audit_tier,ceo_2hop_audit_tier,org_investor_among_signatories,external_investors_into_signatory,notes,data_source,full_path,edge_type_raw
relationship,,Inferact,organization,Inferact,corporate_equity,corporate_1hop_inbound,1,path_found,Andreessen Horowitz,yes,,a16z fund,target_receives_equity_from_source,CONFIRMED,,,,,Inferact received investment from signatory Andreessen Horowitz,audit_v2,,
relationship,,Box,organization,Box,corporate_equity,corporate_1hop_inbound,1,path_found,Emergence Capital,yes,,Emergence fund,target_receives_equity_from_source,CONFIRMED,,,,,Box received investment from signatory Emergence Capital,audit_v2,,
relationship,,Genspark,organization,Genspark,corporate_equity,corporate_1hop_inbound,1,path_found,Emergence Capital,yes,,Emergence fund,target_receives_equity_from_source,CONFIRMED,,,,,Genspark received investment from signatory Emergence Capital,audit_v2,,
relationship,,Arcee AI,organization,Arcee AI,corporate_equity,corporate_1hop_inbound,1,path_found,Emergence Capital,yes,,Emergence fund,target_receives_equity_from_source,CONFIRMED,,,,,Arcee AI received investment from signatory Emergence Capital,audit_v2,,
relationship,,Replit,organization,Replit,corporate_equity,corporate_1hop_inbound,1,path_found,Y Combinator,yes,,YC,target_receives_equity_from_source,CONFIRMED,,,,,Replit received investment from signatory Y Combinator,audit_v2,,
relationship,,Black Forest Labs,organization,Black Forest Labs,corporate_equity,corporate_1hop_inbound,1,path_found,AMP,yes,,AMP direct (Series B co-lead),target_receives_equity_from_source,CONFIRMED,,,,,Black Forest Labs received investment from signatory AMP,audit_v2,,
relationship,,Google,external_organization,Google,corporate_equity,external_investor_1hop,1,path_found,AI21,yes,,,external_holds_equity_in_signatory,CONFIRMED,,,,,External investor (not a coalition signatory) holds equity in AI21,audit_v2,,
relationship,,Intel Capital,external_organization,Intel Capital,corporate_equity,external_investor_1hop,1,path_found,AI21,yes,,,external_holds_equity_in_signatory,CONFIRMED,,,,,External investor (not a coalition signatory) holds equity in AI21,audit_v2,,
relationship,,Sequoia,external_organization,Sequoia,corporate_equity,external_investor_1hop,1,path_found,Arcee AI,yes,,,external_holds_equity_in_signatory,CONFIRMED,,,,,External investor (not a coalition signatory) holds equity in Arcee AI,audit_v2,,
relationship,,Salesforce Ventures,external_organization,Salesforce Ventures,corporate_equity,external_investor_1hop,1,path_found,Black Forest Labs,yes,,,external_holds_equity_in_signatory,CONFIRMED,,,,,External investor (not a coalition signatory) holds equity in Black Forest Labs,audit_v2,,
relationship,,Salesforce Ventures,external_organization,Salesforce Ventures,corporate_equity,external_investor_1hop,1,path_found,Cohere,yes,,,external_holds_equity_in_signatory,CONFIRMED,,,,,External investor (not a coalition signatory) holds equity in Cohere,audit_v2,,
relationship,,Salesforce Ventures,external_organization,Salesforce Ventures,corporate_equity,external_investor_1hop,1,path_found,Hugging Face,yes,,,external_holds_equity_in_signatory,CONFIRMED,,,,,External investor (not a coalition signatory) holds equity in Hugging Face,audit_v2,,
relationship,,Amazon,external_organization,Amazon,corporate_equity,external_investor_1hop,1,path_found,Hugging Face,yes,,,external_holds_equity_in_signatory,CONFIRMED,,,,,External investor (not a coalition signatory) holds equity in Hugging Face,audit_v2,,
relationship,,Intel Capital,external_organization,Intel Capital,corporate_equity,external_investor_1hop,1,path_found,Hugging Face,yes,,,external_holds_equity_in_signatory,CONFIRMED,,,,,External investor (not a coalition signatory) holds equity in Hugging Face,audit_v2,,
relationship,,Sequoia,external_organization,Sequoia,corporate_equity,external_investor_1hop,1,path_found,Inferact,yes,,,external_holds_equity_in_signatory,CONFIRMED,,,,,External investor (not a coalition signatory) holds equity in Inferact,audit_v2,,
relationship,,Salesforce Ventures,external_organization,Salesforce Ventures,corporate_equity,external_investor_1hop,1,path_found,Mistral,yes,,,external_holds_equity_in_signatory,CONFIRMED,,,,,External investor (not a coalition signatory) holds equity in Mistral,audit_v2,,
relationship,,Intel Capital,external_organization,Intel Capital,corporate_equity,external_investor_1hop,1,path_found,Prime Intellect,yes,,,external_holds_equity_in_signatory,CONFIRMED,,,,,External investor (not a coalition signatory) holds equity in Prime Intellect,audit_v2,,
screening_result,1,AI21,organization,AI21,corporate_equity,corporate_1hop_screened_no_signatory_investment,1,no_path_found,,,,,,NONE among signatories,,,No,,Investee only,audit_v2,,
screening_result,3,American Innovators Network,organization,American Innovators Network,corporate_equity,corporate_1hop_screened_no_signatory_investment,1,verified_absent,,,,,,VERIFIED ABSENT,,,VERIFIED ABSENT,,Policy coalition,audit_v2,,
screening_result,6,Arcee AI,organization,Arcee AI,corporate_equity,corporate_1hop_screened_no_signatory_investment,1,no_path_found,,,,,,NONE among signatories,,,No,,Investee only,audit_v2,,
screening_result,7,Arena,organization,Arena,corporate_equity,corporate_1hop_screened_no_signatory_investment,1,no_path_found,,,,,,NONE among signatories,,,No,,LMArena entity,audit_v2,,
screening_result,8,Baseten,organization,Baseten,corporate_equity,corporate_1hop_screened_no_signatory_investment,1,no_path_found,,,,,,NONE among signatories,,,No,,Investee only,audit_v2,,
screening_result,9,Black Forest Labs,organization,Black Forest Labs,corporate_equity,corporate_1hop_screened_no_signatory_investment,1,no_path_found,,,,,,NONE among signatories,,,No,,Investee only,audit_v2,,
screening_result,10,Block,organization,Block,corporate_equity,corporate_1hop_screened_no_signatory_investment,1,no_path_found,,,,,,NONE among signatories,,,No,,Corp: fintech/crypto not coalition names,audit_v2,,
screening_result,11,Box,organization,Box,corporate_equity,corporate_1hop_screened_no_signatory_investment,1,no_path_found,,,,,,NONE among signatories,,,No,,Box corp CVC: non-signatory targets,audit_v2,,
screening_result,13,Cloudflare,organization,Cloudflare,corporate_equity,corporate_1hop_screened_no_signatory_investment,1,no_path_found,,,,,,NONE among signatories,,,No,,Workers Launchpad not balance-sheet CVC,audit_v2,,
screening_result,14,Cohere,organization,Cohere,corporate_equity,corporate_1hop_screened_no_signatory_investment,1,no_path_found,,,,,,NONE among signatories,,,No,,Investee only,audit_v2,,
screening_result,15,CrowdStrike,organization,CrowdStrike,corporate_equity,corporate_1hop_screened_no_signatory_investment,1,no_path_found,,,,,,NONE among signatories,,,No,,Falcon Fund: no signatory overlap,audit_v2,,
screening_result,17,DoorDash,organization,DoorDash,corporate_equity,corporate_1hop_screened_no_signatory_investment,1,no_path_found,,,,,,NONE among signatories,,,No,,Meta board = governance not equity,audit_v2,,
screening_result,19,Fireworks AI,organization,Fireworks AI,corporate_equity,corporate_1hop_screened_no_signatory_investment,1,no_path_found,,,,,,NONE among signatories,,,No,,Investee only,audit_v2,,
screening_result,20,Genspark,organization,Genspark,corporate_equity,corporate_1hop_screened_no_signatory_investment,1,no_path_found,,,,,,NONE among signatories,,,No,,Public CEO Eric Jing,audit_v2,,
screening_result,21,GitHub,organization,GitHub,corporate_equity,corporate_1hop_screened_no_signatory_investment,1,no_path_found,,,,,,NONE among signatories,,,No,,No direct corporate equity in other coalition signatories,audit_v2,,
screening_result,23,Hugging Face,organization,Hugging Face,corporate_equity,corporate_1hop_screened_no_signatory_investment,1,no_path_found,,,,,,NONE among signatories,,,No,,Corp: fonio; M&A Pollen/XetData,audit_v2,,
screening_result,25,Inferact,organization,Inferact,corporate_equity,corporate_1hop_screened_no_signatory_investment,1,no_path_found,,,,,,NONE among signatories,,,No,,Investee only,audit_v2,,
screening_result,26,Interconnects AI,organization,Interconnects AI,corporate_equity,corporate_1hop_screened_no_signatory_investment,1,verified_absent,,,,,,VERIFIED ABSENT,,,VERIFIED ABSENT,,Media/research LLC,audit_v2,,
screening_result,27,Linux Foundation,organization,Linux Foundation,corporate_equity,corporate_1hop_screened_no_signatory_investment,1,verified_absent,,,,,,VERIFIED ABSENT,,,VERIFIED ABSENT,,Nonprofit,audit_v2,,
screening_result,28,Mariana Minerals,organization,Mariana Minerals,corporate_equity,corporate_1hop_screened_no_signatory_investment,1,no_path_found,,,,,,NONE among signatories,,,No,,Investee only,audit_v2,,
screening_result,31,Mistral,organization,Mistral,corporate_equity,corporate_1hop_screened_no_signatory_investment,1,no_path_found,,,,,,NONE among signatories,,,No,,Investee only,audit_v2,,
screening_result,32,Morph,organization,Morph,corporate_equity,corporate_1hop_screened_no_signatory_investment,1,no_path_found,,,,,,NONE among signatories,,,No,,Morph.ai,audit_v2,,
screening_result,34,Nebius,organization,Nebius,corporate_equity,corporate_1hop_screened_no_signatory_investment,1,no_path_found,,,,,,NONE among signatories,,,No,,ClickHouse/Toloka not signatories,audit_v2,,
screening_result,35,Nous Research,organization,Nous Research,corporate_equity,corporate_1hop_screened_no_signatory_investment,1,no_path_found,,,,,,NONE among signatories,,,No,,Investee only,audit_v2,,
screening_result,37,Ollama,organization,Ollama,corporate_equity,corporate_1hop_screened_no_signatory_investment,1,no_path_found,,,,,,NONE among signatories,,,No,,Investee only,audit_v2,,
screening_result,39,OpenClaw,organization,OpenClaw,corporate_equity,corporate_1hop_screened_no_signatory_investment,1,no_path_found,,,,,,NONE among signatories,,,No,,Joined OpenAI Feb 2026,audit_v2,,
screening_result,40,Palantir,organization,Palantir,corporate_equity,corporate_1hop_screened_no_signatory_investment,1,no_path_found,,,,,,NONE among signatories,,,No,,Corp stakes not signatories,audit_v2,,
screening_result,41,Palo Alto Networks,organization,Palo Alto Networks,corporate_equity,corporate_1hop_screened_no_signatory_investment,1,no_path_found,,,,,,NONE among signatories,,,No,,PANW CVC no signatory overlap,audit_v2,,
screening_result,42,Periodic Labs,organization,Periodic Labs,corporate_equity,corporate_1hop_screened_no_signatory_investment,1,no_path_found,,,,,,NONE among signatories,,,No,,Investee only,audit_v2,,
screening_result,44,Prime Intellect,organization,Prime Intellect,corporate_equity,corporate_1hop_screened_no_signatory_investment,1,no_path_found,,,,,,NONE among signatories,,,No,,Public CEO Vincent Weisser,audit_v2,,
screening_result,45,Reflection,organization,Reflection,corporate_equity,corporate_1hop_screened_no_signatory_investment,1,no_path_found,,,,,,NONE among signatories,,,No,,Investee only,audit_v2,,
screening_result,48,Telnyx,organization,Telnyx,corporate_equity,corporate_1hop_screened_no_signatory_investment,1,no_path_found,,,,,,NONE among signatories,,,No,,No direct corporate equity in other coalition signatories,audit_v2,,
screening_result,49,Trajectory,organization,Trajectory,corporate_equity,corporate_1hop_screened_no_signatory_investment,1,no_path_found,,,,,,NONE among signatories,,,No,,No direct corporate equity in other coalition signatories,audit_v2,,
screening_result,43,Perplexity,organization,Perplexity,corporate_equity,corporate_1hop_screened_no_signatory_investment,1,no_path_found,,,,,,NONE among signatories,,,No,,F7 Fund ($50M anchor) — no signatory overlap in portfolio,audit_v2,,
screening_result,46,Replit,organization,Replit,corporate_equity,corporate_1hop_screened_no_signatory_investment,1,no_path_found,,,,,,NONE among signatories,,,No,,Outbound corporate activity (Jusoor Labs) has no signatory overlap,audit_v2,,
relationship,,AMP,leader,Anjney Midha,leader_personal_equity,ceo_1hop_org_control,1,path_found,Periodic Labs,yes,,equity_stake_via_amp_control,leader_direct_stake_in_target,CONFIRMED,,,,,Anjney Midha -> Periodic Labs,incoming_tsv,Anjney Midha -> Periodic Labs,equity_stake_via_amp_control
relationship,,AMP,leader,Anjney Midha,leader_personal_equity,ceo_2hop_beneficiary,2,path_found,Periodic Labs,yes,AMP,AMP,leader_beneficiary_of_target_equity,CONFIRMED,,,,,Anjney Midha -> AMP -> Periodic Labs,incoming_tsv,Anjney Midha -> AMP -> Periodic Labs,gp_via_fund
relationship,,Andreessen Horowitz,leader,Marc Andreessen,leader_personal_equity,ceo_1hop_personal_equity,1,path_found,Meta,yes,,equity_stake,leader_direct_stake_in_target,CONFIRMED,,,,,Marc Andreessen -> Meta,incoming_tsv,Marc Andreessen -> Meta,equity_stake
relationship,,Andreessen Horowitz,leader,Marc Andreessen,leader_personal_equity,ceo_2hop_beneficiary,2,path_found,OpenAI,yes,Andreessen Horowitz,Andreessen Horowitz,leader_beneficiary_of_target_equity,CONFIRMED,,,,,Marc Andreessen -> a16z -> OpenAI,incoming_tsv,Marc Andreessen -> a16z -> OpenAI,gp_via_fund
relationship,,Andreessen Horowitz,leader,Marc Andreessen,leader_personal_equity,ceo_2hop_beneficiary,2,path_found,Mistral,yes,Andreessen Horowitz,Andreessen Horowitz,leader_beneficiary_of_target_equity,CONFIRMED,,,,,Marc Andreessen -> a16z -> Mistral,incoming_tsv,Marc Andreessen -> a16z -> Mistral,gp_via_fund
relationship,,Andreessen Horowitz,leader,Marc Andreessen,leader_personal_equity,ceo_2hop_beneficiary,2,path_found,Replit,yes,Andreessen Horowitz,Andreessen Horowitz,leader_beneficiary_of_target_equity,CONFIRMED,,,,,Marc Andreessen -> a16z -> Replit,incoming_tsv,Marc Andreessen -> a16z -> Replit,gp_via_fund
relationship,,Andreessen Horowitz,leader,Marc Andreessen,leader_personal_equity,ceo_2hop_beneficiary,2,path_found,Black Forest Labs,yes,Andreessen Horowitz,Andreessen Horowitz,leader_beneficiary_of_target_equity,CONFIRMED,,,,,Marc Andreessen -> a16z -> Black Forest Labs,incoming_tsv,Marc Andreessen -> a16z -> Black Forest Labs,gp_via_fund
relationship,,Andreessen Horowitz,leader,Marc Andreessen,leader_personal_equity,ceo_2hop_beneficiary,2,path_found,Periodic Labs,yes,Andreessen Horowitz,Andreessen Horowitz,leader_beneficiary_of_target_equity,CONFIRMED,,,,,Marc Andreessen -> a16z -> Periodic Labs,incoming_tsv,Marc Andreessen -> a16z -> Periodic Labs,gp_via_fund
