leader_name	leader_org	degree	path	via_name	target_name	edge_type	confidence
Anjney Midha	AMP	1	Anjney Midha -> Periodic Labs		Periodic Labs	equity_stake_via_amp_control	high
Anjney Midha	AMP	2	Anjney Midha -> AMP -> Periodic Labs	AMP	Periodic Labs	gp_via_fund	high
Marc Andreessen	Andreessen Horowitz	1	Marc Andreessen -> Meta		Meta	equity_stake	high
Marc Andreessen	Andreessen Horowitz	2	Marc Andreessen -> a16z -> OpenAI	Andreessen Horowitz	OpenAI	gp_via_fund	high
Marc Andreessen	Andreessen Horowitz	2	Marc Andreessen -> a16z -> Mistral	Andreessen Horowitz	Mistral	gp_via_fund	high
Marc Andreessen	Andreessen Horowitz	2	Marc Andreessen -> a16z -> Replit	Andreessen Horowitz	Replit	gp_via_fund	high
Marc Andreessen	Andreessen Horowitz	2	Marc Andreessen -> a16z -> Black Forest Labs	Andreessen Horowitz	Black Forest Labs	gp_via_fund	high
Marc Andreessen	Andreessen Horowitz	2	Marc Andreessen -> a16z -> Periodic Labs	Andreessen Horowitz	Periodic Labs	gp_via_fund	high
Marc Andreessen	Andreessen Horowitz	2	Marc Andreessen -> a16z -> Morph	Andreessen Horowitz	Morph	gp_via_fund	medium
Marc Andreessen	Andreessen Horowitz	2	Marc Andreessen -> a16z -> AMP	Andreessen Horowitz	AMP	gp_via_fund	high
Marc Andreessen	Andreessen Horowitz	2	Marc Andreessen -> a16z -> DoorDash	Andreessen Horowitz	DoorDash	gp_via_fund	medium
Marc Andreessen	Andreessen Horowitz	2	Marc Andreessen -> a16z -> AMP -> Periodic Labs	AMP	Periodic Labs	fund_via_portfolio	medium
Ben Horowitz	Andreessen Horowitz	2	Ben Horowitz -> a16z -> OpenAI	Andreessen Horowitz	OpenAI	gp_via_fund	high
Ben Horowitz	Andreessen Horowitz	2	Ben Horowitz -> a16z -> Mistral	Andreessen Horowitz	Mistral	gp_via_fund	high
Ben Horowitz	Andreessen Horowitz	2	Ben Horowitz -> a16z -> Replit	Andreessen Horowitz	Replit	gp_via_fund	high
Ben Horowitz	Andreessen Horowitz	2	Ben Horowitz -> a16z -> Black Forest Labs	Andreessen Horowitz	Black Forest Labs	gp_via_fund	high
Ben Horowitz	Andreessen Horowitz	2	Ben Horowitz -> a16z -> Periodic Labs	Andreessen Horowitz	Periodic Labs	gp_via_fund	high
Ben Horowitz	Andreessen Horowitz	2	Ben Horowitz -> a16z -> Morph	Andreessen Horowitz	Morph	gp_via_fund	medium
Ben Horowitz	Andreessen Horowitz	2	Ben Horowitz -> a16z -> AMP	Andreessen Horowitz	AMP	gp_via_fund	high
Ben Horowitz	Andreessen Horowitz	2	Ben Horowitz -> a16z -> DoorDash	Andreessen Horowitz	DoorDash	gp_via_fund	medium
Aaron Levie	Box	1	Aaron Levie -> Prime Intellect		Prime Intellect	angel_equity	medium
Chuck Robbins	Cisco	1	Cisco -> Mistral		Mistral	equity_stake	high
Chuck Robbins	Cisco	1	Cisco -> Cohere		Cohere	equity_stake	high
Chuck Robbins	Cisco	2	Chuck Robbins -> Cisco AI Fund -> Mistral	Cisco AI Investment Fund	Mistral	corp_via_fund	high
Chuck Robbins	Cisco	2	Chuck Robbins -> Cisco AI Fund -> Cohere	Cisco AI Investment Fund	Cohere	corp_via_fund	high
Michael Dell	Dell Technologies	1	Dell -> Prime Intellect		Prime Intellect	equity_stake	medium
Michael Dell	Dell Technologies	1	Dell -> CrowdStrike (historical)		CrowdStrike	equity_stake	low
Michael Dell	Dell Technologies	2	Michael Dell -> Coatue Innovation Fund -> OpenAI	Coatue Innovation Fund	OpenAI	lp_via_fund	high
Gordon Ritter	Emergence Capital	1	Emergence -> Box		Box	equity_stake	medium
Gordon Ritter	Emergence Capital	2	Gordon Ritter -> Emergence -> Box	Emergence Capital	Box	gp_via_fund	medium
Sundar Pichai	Google	1	Google -> Hugging Face		Hugging Face	equity_stake	high
Sundar Pichai	Google	1	Google -> AI21		AI21	equity_stake	high
Sundar Pichai	Google	1	Google -> Baseten		Baseten	equity_stake	high
Sundar Pichai	Google	2	Sundar Pichai -> CapitalG -> Hugging Face	CapitalG	Hugging Face	corp_via_fund	medium
Sundar Pichai	Google	2	Sundar Pichai -> CapitalG -> AI21	CapitalG	AI21	corp_via_fund	medium
Sundar Pichai	Google	2	Sundar Pichai -> CapitalG -> Baseten	CapitalG	Baseten	corp_via_fund	medium
Clément Delangue	Hugging Face	1	Clément Delangue -> Perplexity		Perplexity	angel_equity	high
Clément Delangue	Hugging Face	1	Clément Delangue -> Mistral		Mistral	angel_equity	high
Clément Delangue	Hugging Face	1	Clément Delangue -> Prime Intellect		Prime Intellect	angel_equity	high
Arvind Krishna	IBM	1	IBM -> Hugging Face		Hugging Face	equity_stake	high
Lisa Su	AMD	1	AMD -> Hugging Face		Hugging Face	equity_stake	medium
Lisa Su	AMD	1	AMD -> Fireworks AI		Fireworks AI	equity_stake	low
Satya Nadella	Microsoft	1	Microsoft -> OpenAI		OpenAI	equity_stake	high
Satya Nadella	Microsoft	1	Microsoft -> GitHub		GitHub	equity_stake	high
Satya Nadella	Microsoft	1	Microsoft -> Mistral		Mistral	equity_stake	medium
Laura Chambers	Mozilla	1	Mozilla -> Nous Research		Nous Research	equity_stake	high
Laura Chambers	Mozilla	2	Laura Chambers -> Mozilla Ventures -> Nous Research	Mozilla Ventures	Nous Research	corp_via_fund	high
Arkady Volozh	Nebius	1	Nebius -> AI21		AI21	equity_stake	high
Arkady Volozh	Nebius	2	Arkady Volozh -> Nebius -> AI21	Nebius	AI21	corp_via_company	high
Jensen Huang	NVIDIA	1	NVIDIA -> OpenAI		OpenAI	equity_stake	high
Jensen Huang	NVIDIA	1	NVIDIA -> Nebius		Nebius	equity_stake	high
Jensen Huang	NVIDIA	1	NVIDIA -> Mistral		Mistral	equity_stake	high
Jensen Huang	NVIDIA	1	NVIDIA -> Cohere		Cohere	equity_stake	high
Jensen Huang	NVIDIA	1	NVIDIA -> Hugging Face		Hugging Face	equity_stake	high
Jensen Huang	NVIDIA	1	NVIDIA -> Perplexity		Perplexity	equity_stake	high
Jensen Huang	NVIDIA	1	NVIDIA -> Fireworks AI		Fireworks AI	equity_stake	high
Jensen Huang	NVIDIA	1	NVIDIA -> Baseten		Baseten	equity_stake	high
Jensen Huang	NVIDIA	1	NVIDIA -> AI21		AI21	equity_stake	high
Jensen Huang	NVIDIA	1	NVIDIA -> Periodic Labs		Periodic Labs	equity_stake	medium
Jensen Huang	NVIDIA	1	NVIDIA -> Reflection		Reflection	equity_stake	medium
Jensen Huang	NVIDIA	1	NVIDIA -> Prime Intellect		Prime Intellect	equity_stake	medium
Jensen Huang	NVIDIA	2	Jensen Huang -> NVentures -> OpenAI	NVentures	OpenAI	corp_via_fund	medium
Jensen Huang	NVIDIA	2	Jensen Huang -> NVentures -> Nebius	NVentures	Nebius	corp_via_fund	medium
Jensen Huang	NVIDIA	2	Jensen Huang -> NVentures -> Mistral	NVentures	Mistral	corp_via_fund	medium
Jensen Huang	NVIDIA	2	Jensen Huang -> NVentures -> Cohere	NVentures	Cohere	corp_via_fund	medium
Jensen Huang	NVIDIA	2	Jensen Huang -> NVentures -> Hugging Face	NVentures	Hugging Face	corp_via_fund	medium
Jensen Huang	NVIDIA	2	Jensen Huang -> NVentures -> Perplexity	NVentures	Perplexity	corp_via_fund	medium
Jensen Huang	NVIDIA	2	Jensen Huang -> NVentures -> Fireworks AI	NVentures	Fireworks AI	corp_via_fund	medium
